Year,Work,Artists,Award
1959,Volare,Domenico Modugno,Song of the Year
1960,The Battle of New Orleans,Johnny Horton,Song of the Year
1961,Theme of Exodus,Instrumental,Song of the Year
1962,Moon River,Henry Mancini,Song of the Year
1963,What Kind of Fool Ami?,Sammy Davis Jr.,Song of the Year
1964,Days of Wine and Roses,Henry Mancini,Song of the Year
1965,Hello Dolly!,Louis Armstrong,Song of the Year
1966,The Shadow of Your Smile,Tony Bennett,Song of the Year
1967,Michelle,The Beatles,Song of the Year
1968,Up Up and Away,5th Dimension,Song of the Year
1969,Little Green Apples,O.C. Smith,Song of the Year
1970,Games People Play,Joe South,Song of the Year
1971,Bridge Over Troubled Water,Simon and Garfunkel,Song of the Year
1972,You've Got a Friend,Carole King,Song of the Year
1973,The First Time Ever I Saw Your Face,Roberta Flack,Song of the Year
1974,Killing Me Softly with His Song,Roberta Flack,Song of the Year
1975,The Way We Were,Barbra Streisand,Song of the Year
1976,Send in the Clowns,Judy Collins,Song of the Year
1977,I Write the Songs,Barry Manilow,Song of the Year
1978,Evergreen,Barbra Streisand,Song of the Year
1978,You Light Up My Life,Debby Boone,Song of the Year
1979,Just the Way You Are,Billy Joel,Song of the Year
1980,What a Fool Believes,The Doobie Brothers,Song of the Year
1981,Sailing,Christopher Cross,Song of the Year
1982,Bette Davis Eyes,Kim Carnes,Song of the Year
1983,Always on My Mind,Willie Nelson,Song of the Year
1984,Every Breath You Take,The Police,Song of the Year
1985,What's Love Got to Do With It?,Tina Turner,Song of the Year
1986,We Are the World,USA for Africa,Song of the Year
1987,That's What Friends Are For,Elton John;Gladys Knight;Dionne Warwick;Stevie Wonder,Song of the Year
1988,Somewhere Out There,James Ingram;Linda Rondstat,Song of the Year
1989,Don't Worry Be Happy,Bobby McFerrin,Song of the Year
1990,Wind Beneath My Wings,Bette Midler,Song of the Year
1991,From a Distance,Bette Midler,Song of the Year
1992,Unforgettable,Natalie Cole;Nat King Cole,Song of the Year
1993,Tears in Heaven,Eric Clapton,Song of the Year
